ID;Fabrica;Activo;Tecnología;Pais
203;Paraná;1;Almacén producto semielaborado o en producción;Argentina
204;Campinas;1;Almacén producto semielaborado o en producción;Brasil
205;Dongguan;1;Almacén producto semielaborado o en producción;China
264;Gonvauto Barcelona;1;Instalaciones exteriores y auxiliares;España
207;Changshu;1;Almacén producto semielaborado o en producción;China
208;Shenyang;1;Almacén producto semielaborado o en producción;China
209;Chongqing;1;Almacén producto semielaborado o en producción;China
210;Loudi;1;Almacén producto semielaborado o en producción;China
211;GCF;1;Almacén producto semielaborado o en producción;Rep.Checa
212;Bridge Street;1;Almacén producto semielaborado o en producción;UK
213;Newton Aycliffe;1;Almacén producto semielaborado o en producción;UK
214;Popes Lane;1;Almacén producto semielaborado o en producción;UK
215;Darlaston;1;Almacén producto semielaborado o en producción;UK
216;Cannock;1;Almacén producto semielaborado o en producción;Holanda
217;Barcelona;1;Área de embalado;España
218;Burgos;1;Área de embalado;España
219;Tarragona;1;Área de embalado;España
220;Valencia;1;Área de embalado;España
221;Portugal;1;Área de embalado;Portugal
222;Union Street;1;Área de embalado;UK
303;Gonvauto Barcelona;1;Mantenimiento;España
342;Gonvauto Barcelona;1;Maquinaria Auxiliar;España
381;Gonvauto Barcelona;1;Oficinas administrativas;España
226;Navarra;1;Área de embalado;España
227;Galicia;1;Área de embalado;España
420;Gonvauto Barcelona;1;Puente Grúa;España
460;Gonvauto Barcelona;1;Carpinteria;España
230;Baja California;1;Área de embalado;EEUU
231;Çepas;1;Área de embalado;Turquía
232;Colombia;1;Área de embalado;Colombia
233;Thüringen;1;Área de embalado;Alemania
234;Polska;1;Área de embalado;Polonia
235;Senica;1;Área de embalado;Eslovaquia
236;Kaluga;1;Área de embalado;Russia
237;Czech;1;Área de embalado;Rep.Checa
499;Gonvauto Barcelona;1;Almacen de recambios;España
239;Puebla;1;Área de embalado;México
240;South Carolina;1;Área de embalado;EEUU
241;Argentina;1;Área de embalado;Argentina
242;Paraná;1;Área de embalado;Argentina
243;Campinas;1;Área de embalado;Brasil
244;Dongguan;1;Área de embalado;China
538;Gonvauto Barcelona;1;Almacen productos quimicos;España
246;Changshu;1;Área de embalado;China
247;Shenyang;1;Área de embalado;China
248;Chongqing;1;Área de embalado;China
249;Loudi;1;Área de embalado;China
250;GCF;1;Área de embalado;Rep.Checa
251;Bridge Street;1;Área de embalado;UK
252;Newton Aycliffe;1;Área de embalado;UK
253;Popes Lane;1;Área de embalado;UK
254;Darlaston;1;Área de embalado;UK
255;Cannock;1;Área de embalado;Holanda
256;Barcelona;1;Instalaciones exteriores y auxiliares;España
257;Burgos;1;Instalaciones exteriores y auxiliares;España
258;Tarragona;1;Instalaciones exteriores y auxiliares;España
259;Valencia;1;Instalaciones exteriores y auxiliares;España
260;Portugal;1;Instalaciones exteriores y auxiliares;Portugal
261;Union Street;1;Instalaciones exteriores y auxiliares;UK
571;Gonvauto Barcelona;1;Residuos productos quimicos;España
604;Gonvauto Barcelona;1;Carretilla;España
637;Gonvauto Barcelona;1;Coil to Coil;España
265;Navarra;1;Instalaciones exteriores y auxiliares;España
266;Galicia;1;Instalaciones exteriores y auxiliares;España
128;Gonvvama Holding;1;Almacén de Materia Prima;China
167;Gonvvama Holding;1;Almacén de Producto Terminado;China
269;Baja California;1;Instalaciones exteriores y auxiliares;EEUU
270;Çepas;1;Instalaciones exteriores y auxiliares;Turquía
271;Colombia;1;Instalaciones exteriores y auxiliares;Colombia
272;Thüringen;1;Instalaciones exteriores y auxiliares;Alemania
273;Polska;1;Instalaciones exteriores y auxiliares;Polonia
274;Senica;1;Instalaciones exteriores y auxiliares;Eslovaquia
275;Kaluga;1;Instalaciones exteriores y auxiliares;Russia
276;Czech;1;Instalaciones exteriores y auxiliares;Rep.Checa
206;Gonvvama Holding;1;Almacén producto semielaborado o en producción;China
278;Puebla;1;Instalaciones exteriores y auxiliares;México
279;South Carolina;1;Instalaciones exteriores y auxiliares;EEUU
280;Argentina;1;Instalaciones exteriores y auxiliares;Argentina
281;Paraná;1;Instalaciones exteriores y auxiliares;Argentina
282;Campinas;1;Instalaciones exteriores y auxiliares;Brasil
283;Dongguan;1;Instalaciones exteriores y auxiliares;China
245;Gonvvama Holding;1;Área de embalado;China
285;Changshu;1;Instalaciones exteriores y auxiliares;China
286;Shenyang;1;Instalaciones exteriores y auxiliares;China
287;Chongqing;1;Instalaciones exteriores y auxiliares;China
288;Loudi;1;Instalaciones exteriores y auxiliares;China
289;GCF;1;Instalaciones exteriores y auxiliares;Rep.Checa
290;Bridge Street;1;Instalaciones exteriores y auxiliares;UK
291;Newton Aycliffe;1;Instalaciones exteriores y auxiliares;UK
292;Popes Lane;1;Instalaciones exteriores y auxiliares;UK
293;Darlaston;1;Instalaciones exteriores y auxiliares;UK
294;Cannock;1;Instalaciones exteriores y auxiliares;Holanda
295;Barcelona;1;Mantenimiento;España
296;Burgos;1;Mantenimiento;España
297;Tarragona;1;Mantenimiento;España
298;Valencia;1;Mantenimiento;España
299;Portugal;1;Mantenimiento;Portugal
300;Union Street;1;Mantenimiento;UK
284;Gonvvama Holding;1;Instalaciones exteriores y auxiliares;China
323;Gonvvama Holding;1;Mantenimiento;China
362;Gonvvama Holding;1;Maquinaria Auxiliar;China
304;Navarra;1;Mantenimiento;España
305;Galicia;1;Mantenimiento;España
401;Gonvvama Holding;1;Oficinas administrativas;China
440;Gonvvama Holding;1;Puente Grúa;China
308;Baja California;1;Mantenimiento;EEUU
309;Çepas;1;Mantenimiento;Turquía
310;Colombia;1;Mantenimiento;Colombia
311;Thüringen;1;Mantenimiento;Alemania
312;Polska;1;Mantenimiento;Polonia
313;Senica;1;Mantenimiento;Eslovaquia
314;Kaluga;1;Mantenimiento;Russia
315;Czech;1;Mantenimiento;Rep.Checa
519;Gonvvama Holding;1;Almacen de recambios;China
317;Puebla;1;Mantenimiento;México
318;South Carolina;1;Mantenimiento;EEUU
319;Argentina;1;Mantenimiento;Argentina
320;Paraná;1;Mantenimiento;Argentina
321;Campinas;1;Mantenimiento;Brasil
322;Dongguan;1;Mantenimiento;China
189;Asturias;1;Almacén producto semielaborado o en producción;España
324;Changshu;1;Mantenimiento;China
325;Shenyang;1;Mantenimiento;China
326;Chongqing;1;Mantenimiento;China
327;Loudi;1;Mantenimiento;China
328;GCF;1;Mantenimiento;Rep.Checa
329;Bridge Street;1;Mantenimiento;UK
330;Newton Aycliffe;1;Mantenimiento;UK
331;Popes Lane;1;Mantenimiento;UK
332;Darlaston;1;Mantenimiento;UK
333;Cannock;1;Mantenimiento;Holanda
334;Barcelona;1;Maquinaria Auxiliar;España
335;Burgos;1;Maquinaria Auxiliar;España
336;Tarragona;1;Maquinaria Auxiliar;España
337;Valencia;1;Maquinaria Auxiliar;España
338;Portugal;1;Maquinaria Auxiliar;Portugal
339;Union Street;1;Maquinaria Auxiliar;UK
228;Asturias;1;Área de embalado;España
267;Asturias;1;Instalaciones exteriores y auxiliares;España
306;Asturias;1;Mantenimiento;España
343;Navarra;1;Maquinaria Auxiliar;España
344;Galicia;1;Maquinaria Auxiliar;España
345;Asturias;1;Maquinaria Auxiliar;España
384;Asturias;1;Oficinas administrativas;España
347;Baja California;1;Maquinaria Auxiliar;EEUU
348;Çepas;1;Maquinaria Auxiliar;Turquía
349;Colombia;1;Maquinaria Auxiliar;Colombia
350;Thüringen;1;Maquinaria Auxiliar;Alemania
351;Polska;1;Maquinaria Auxiliar;Polonia
352;Senica;1;Maquinaria Auxiliar;Eslovaquia
353;Kaluga;1;Maquinaria Auxiliar;Russia
354;Czech;1;Maquinaria Auxiliar;Rep.Checa
423;Asturias;1;Puente Grúa;España
356;Puebla;1;Maquinaria Auxiliar;México
357;South Carolina;1;Maquinaria Auxiliar;EEUU
358;Argentina;1;Maquinaria Auxiliar;Argentina
359;Paraná;1;Maquinaria Auxiliar;Argentina
360;Campinas;1;Maquinaria Auxiliar;Brasil
361;Dongguan;1;Maquinaria Auxiliar;China
463;Asturias;1;Carpinteria;España
363;Changshu;1;Maquinaria Auxiliar;China
364;Shenyang;1;Maquinaria Auxiliar;China
365;Chongqing;1;Maquinaria Auxiliar;China
366;Loudi;1;Maquinaria Auxiliar;China
367;GCF;1;Maquinaria Auxiliar;Rep.Checa
368;Bridge Street;1;Maquinaria Auxiliar;UK
369;Newton Aycliffe;1;Maquinaria Auxiliar;UK
370;Popes Lane;1;Maquinaria Auxiliar;UK
371;Darlaston;1;Maquinaria Auxiliar;UK
372;Cannock;1;Maquinaria Auxiliar;Holanda
373;Barcelona;1;Oficinas administrativas;España
374;Burgos;1;Oficinas administrativas;España
375;Tarragona;1;Oficinas administrativas;España
376;Valencia;1;Oficinas administrativas;España
377;Portugal;1;Oficinas administrativas;Portugal
378;Union Street;1;Oficinas administrativas;UK
502;Asturias;1;Almacen de recambios;España
541;Asturias;1;Almacen productos quimicos;España
574;Asturias;1;Residuos productos quimicos;España
382;Navarra;1;Oficinas administrativas;España
383;Galicia;1;Oficinas administrativas;España
607;Asturias;1;Carretilla;España
640;Asturias;1;Coil to Coil;España
386;Baja California;1;Oficinas administrativas;EEUU
387;Çepas;1;Oficinas administrativas;Turquía
388;Colombia;1;Oficinas administrativas;Colombia
389;Thüringen;1;Oficinas administrativas;Alemania
390;Polska;1;Oficinas administrativas;Polonia
391;Senica;1;Oficinas administrativas;Eslovaquia
392;Kaluga;1;Oficinas administrativas;Russia
393;Czech;1;Oficinas administrativas;Rep.Checa
662;Asturias;1;Soldadura Manual;España
395;Puebla;1;Oficinas administrativas;México
396;South Carolina;1;Oficinas administrativas;EEUU
397;Argentina;1;Oficinas administrativas;Argentina
398;Paraná;1;Oficinas administrativas;Argentina
399;Campinas;1;Oficinas administrativas;Brasil
400;Dongguan;1;Oficinas administrativas;China
664;Asturias;1;General / Auxiliar;España
402;Changshu;1;Oficinas administrativas;China
403;Shenyang;1;Oficinas administrativas;China
404;Chongqing;1;Oficinas administrativas;China
405;Loudi;1;Oficinas administrativas;China
406;GCF;1;Oficinas administrativas;Rep.Checa
407;Bridge Street;1;Oficinas administrativas;UK
408;Newton Aycliffe;1;Oficinas administrativas;UK
409;Popes Lane;1;Oficinas administrativas;UK
410;Darlaston;1;Oficinas administrativas;UK
411;Cannock;1;Oficinas administrativas;Holanda
412;Barcelona;1;Puente Grúa;España
413;Burgos;1;Puente Grúa;España
414;Tarragona;1;Puente Grúa;España
415;Valencia;1;Puente Grúa;España
416;Portugal;1;Puente Grúa;Portugal
417;Union Street;1;Puente Grúa;UK
106;Laser Barcelona;1;Almacén de Materia Prima;España
145;Laser Barcelona;1;Almacén de Producto Terminado;España
184;Laser Barcelona;1;Almacén producto semielaborado o en producción;España
421;Navarra;1;Puente Grúa;España
422;Galicia;1;Puente Grúa;España
223;Laser Barcelona;1;Área de embalado;España
262;Laser Barcelona;1;Instalaciones exteriores y auxiliares;España
425;Baja California;1;Puente Grúa;EEUU
426;Çepas;1;Puente Grúa;Turquía
427;Colombia;1;Puente Grúa;Colombia
428;Thüringen;1;Puente Grúa;Alemania
429;Polska;1;Puente Grúa;Polonia
430;Senica;1;Puente Grúa;Eslovaquia
431;Kaluga;1;Puente Grúa;Russia
432;Czech;1;Puente Grúa;Rep.Checa
301;Laser Barcelona;1;Mantenimiento;España
434;Puebla;1;Puente Grúa;México
435;South Carolina;1;Puente Grúa;EEUU
436;Argentina;1;Puente Grúa;Argentina
437;Paraná;1;Puente Grúa;Argentina
438;Campinas;1;Puente Grúa;Brasil
439;Dongguan;1;Puente Grúa;China
340;Laser Barcelona;1;Maquinaria Auxiliar;España
441;Changshu;1;Puente Grúa;China
442;Shenyang;1;Puente Grúa;China
443;Chongqing;1;Puente Grúa;China
444;Loudi;1;Puente Grúa;China
445;GCF;1;Puente Grúa;Rep.Checa
446;Bridge Street;1;Puente Grúa;UK
447;Newton Aycliffe;1;Puente Grúa;UK
448;Popes Lane;1;Puente Grúa;UK
449;Darlaston;1;Puente Grúa;UK
450;Cannock;1;Puente Grúa;Holanda
451;Paraná;1;Corte Longitudinal;Argentina
452;Barcelona;1;Carpinteria;España
453;Burgos;1;Carpinteria;España
454;Tarragona;1;Carpinteria;España
455;Valencia;1;Carpinteria;España
456;Portugal;1;Carpinteria;Portugal
457;Union Street;1;Carpinteria;UK
379;Laser Barcelona;1;Oficinas administrativas;España
418;Laser Barcelona;1;Puente Grúa;España
458;Laser Barcelona;1;Carpinteria;España
461;Navarra;1;Carpinteria;España
462;Galicia;1;Carpinteria;España
497;Laser Barcelona;1;Almacen de recambios;España
536;Laser Barcelona;1;Almacen productos quimicos;España
465;Baja California;1;Carpinteria;EEUU
466;Çepas;1;Carpinteria;Turquía
467;Colombia;1;Carpinteria;Colombia
468;Thüringen;1;Carpinteria;Alemania
469;Polska;1;Carpinteria;Polonia
470;Senica;1;Carpinteria;Eslovaquia
471;Kaluga;1;Carpinteria;Russia
472;Czech;1;Carpinteria;Rep.Checa
569;Laser Barcelona;1;Residuos productos quimicos;España
474;Puebla;1;Carpinteria;México
475;South Carolina;1;Carpinteria;EEUU
476;Argentina;1;Carpinteria;Argentina
477;Paraná;1;Carpinteria;Argentina
478;Campinas;1;Carpinteria;Brasil
479;Dongguan;1;Carpinteria;China
481;Changshu;1;Carpinteria;China
482;Shenyang;1;Carpinteria;China
483;Chongqing;1;Carpinteria;China
484;Loudi;1;Carpinteria;China
486;Bridge Street;1;Carpinteria;UK
487;Newton Aycliffe;1;Carpinteria;UK
488;Popes Lane;1;Carpinteria;UK
489;Darlaston;1;Carpinteria;UK
490;Cannock;1;Carpinteria;Holanda
491;Barcelona;1;Almacen de recambios;España
492;Burgos;1;Almacen de recambios;España
493;Tarragona;1;Almacen de recambios;España
494;Valencia;1;Almacen de recambios;España
495;Portugal;1;Almacen de recambios;Portugal
496;Union Street;1;Almacen de recambios;UK
602;Laser Barcelona;1;Carretilla;España
60;Laser Brandenburg;1;Corte Láser 3D;Rep.Checa
121;Laser Brandenburg;1;Almacén de Materia Prima;Rep.Checa
500;Navarra;1;Almacen de recambios;España
501;Galicia;1;Almacen de recambios;España
160;Laser Brandenburg;1;Almacén de Producto Terminado;Rep.Checa
199;Laser Brandenburg;1;Almacén producto semielaborado o en producción;Rep.Checa
504;Baja California;1;Almacen de recambios;EEUU
505;Çepas;1;Almacen de recambios;Turquía
506;Colombia;1;Almacen de recambios;Colombia
507;Thüringen;1;Almacen de recambios;Alemania
508;Polska;1;Almacen de recambios;Polonia
509;Senica;1;Almacen de recambios;Eslovaquia
510;Kaluga;1;Almacen de recambios;Russia
511;Czech;1;Almacen de recambios;Rep.Checa
238;Laser Brandenburg;1;Área de embalado;Rep.Checa
513;Puebla;1;Almacen de recambios;México
514;South Carolina;1;Almacen de recambios;EEUU
515;Argentina;1;Almacen de recambios;Argentina
516;Paraná;1;Almacen de recambios;Argentina
517;Campinas;1;Almacen de recambios;Brasil
518;Dongguan;1;Almacen de recambios;China
277;Laser Brandenburg;1;Instalaciones exteriores y auxiliares;Rep.Checa
520;Changshu;1;Almacen de recambios;China
521;Shenyang;1;Almacen de recambios;China
522;Chongqing;1;Almacen de recambios;China
523;Loudi;1;Almacen de recambios;China
524;GCF;1;Almacen de recambios;Rep.Checa
525;Bridge Street;1;Almacen de recambios;UK
526;Newton Aycliffe;1;Almacen de recambios;UK
527;Popes Lane;1;Almacen de recambios;UK
528;Darlaston;1;Almacen de recambios;UK
529;Cannock;1;Almacen de recambios;Holanda
530;Barcelona;1;Almacen productos quimicos;España
531;Burgos;1;Almacen productos quimicos;España
532;Tarragona;1;Almacen productos quimicos;España
533;Valencia;1;Almacen productos quimicos;España
534;Portugal;1;Almacen productos quimicos;Portugal
535;Union Street;1;Almacen productos quimicos;UK
316;Laser Brandenburg;1;Mantenimiento;Rep.Checa
355;Laser Brandenburg;1;Maquinaria Auxiliar;Rep.Checa
394;Laser Brandenburg;1;Oficinas administrativas;Rep.Checa
539;Navarra;1;Almacen productos quimicos;España
540;Galicia;1;Almacen productos quimicos;España
433;Laser Brandenburg;1;Puente Grúa;Rep.Checa
473;Laser Brandenburg;1;Carpinteria;Rep.Checa
543;Baja California;1;Almacen productos quimicos;EEUU
