ID;Planta;Año;Mes;Empleados Propios;Empleados Ajenos;Empleados ETTS;Empleados Subcontrata;Horas Presencia Efectiva Propios;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Horas Formacion General Propios;Empleados Propios - indefinido;Empleados Propios - duración determinada
4623;Arizona;2020;DIC;0;0;0;0;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4624;Baja California;2020;DIC;3;3;3;0;59.730.000.000.000.000;0.00000000000000;36.000.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;1;2
4625;GMS Corporate;2020;DIC;13;0;0;0;160.800.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;12;0
4626;Çepas;2020;DIC;291;0;0;0;5.993.100.000.000.000.000;0.00000000000000;0.00000000000000;66.000.000.000.000.000;0.00000000000000;67.300.000.000.000.000;291;0
4627;Colombia;2020;DIC;243;103;103;0;5.694.900.000.000.000.000;0.00000000000000;1.977.600.000.000.000.000;55.450.000.000.000.000;9.450.000.000.000.000;168.850.000.000.000.000;229;14
4628;Kaluga;2020;DIC;58;6;0;6;1.041.450.000.000.000.000;109.500.000.000.000.000;0.00000000000000;6.200.000.000.000.000;0.00000000000000;13.500.000.000.000.000;58;0
4629;Union Street;2020;DIC;177;21;21;0;2.163.947.000.000.000.000;0.00000000000000;0.00000000000000;3.000.000.000.000.000;0.00000000000000;7.200.000.000.000.000;151;25
4630;Thüringen;2020;DIC;172;15;15;0;3.090.200.000.000.000.000;0.00000000000000;180.700.000.000.000.000;0.00000000000000;0.00000000000000;135.300.000.000.000.000;123;42
4631;Polska;2020;DIC;111;0;0;0;1.326.580.000.000.000.000;0.00000000000000;0.00000000000000;106.880.000.000.000.000;0.00000000000000;168.330.000.000.000.000;91;20
4632;Senica;2020;DIC;138;8;0;8;1.602.340.000.000.000.000;147.250.000.000.000.000;0.00000000000000;23.600.000.000.000.000;0.00000000000000;27.400.000.000.000.000;118;20
4633;Czech;2020;DIC;0;0;0;0;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0;0
4634;Puebla;2020;DIC;94;32;28;4;1.875.750.000.000.000.000;76.800.000.000.000.000;541.350.000.000.000.000;51.600.000.000.000.000;11.300.000.000.000.000;54.500.000.000.000.000;95;0
4635;South Carolina;2020;DIC;89;2;2;0;2.161.800.000.000.000.000;0.00000000000000;38.000.000.000.000.000;1.100.000.000.000.000;0.00000000000000;255.800.000.000.000.000;85;0
4636;Argentina;2020;DIC;50;0;0;0;695.300.000.000.000.000;0.00000000000000;0.00000000000000;600.000.000.000.000;0.00000000000000;3.800.000.000.000.000;50;0
