ID;Fabrica;Activo;Tecnología;Pais;lat;lon
295;Barcelona;1;Mantenimiento;España;40.46;-3.74
296;Burgos;1;Mantenimiento;España;40.46;-3.74
297;Tarragona;1;Mantenimiento;España;40.46;-3.74
298;Valencia;1;Mantenimiento;España;40.46;-3.74
299;Portugal;1;Mantenimiento;Portugal;39.39;-8.22
300;Union Street;1;Mantenimiento;UK;55.37;-3.43
284;Gonvvama Holding;1;Instalaciones exteriores y auxiliares;China;35.86;104.19
323;Gonvvama Holding;1;Mantenimiento;China;35.86;104.19
362;Gonvvama Holding;1;Maquinaria Auxiliar;China;35.86;104.19
304;Navarra;1;Mantenimiento;España;40.46;-3.74
305;Galicia;1;Mantenimiento;España;40.46;-3.74
401;Gonvvama Holding;1;Oficinas administrativas;China;35.86;104.19
440;Gonvvama Holding;1;Puente Grúa;China;35.86;104.19
308;Baja California;1;Mantenimiento;EEUU;37.09;-95.71
309;Çepas;1;Mantenimiento;Turquía;38.96;35.24
310;Colombia;1;Mantenimiento;Colombia;4.57;-74.29
311;Thüringen;1;Mantenimiento;Alemania;511.656;104.515
312;Polska;1;Mantenimiento;Polonia;51.91;19.14
313;Senica;1;Mantenimiento;Eslovaquia;48.66;19.69
314;Kaluga;1;Mantenimiento;Russia;61.52;105.31
315;Czech;1;Mantenimiento;Rep.Checa;49.81;15.47
519;Gonvvama Holding;1;Almacen de recambios;China;35.86;104.19
317;Puebla;1;Mantenimiento;México;23.63;-102.55
318;South Carolina;1;Mantenimiento;EEUU;37.09;-95.71
319;Argentina;1;Mantenimiento;Argentina;-38.416.097;-63.616.672
320;Paraná;1;Mantenimiento;Argentina;-38.416.097;-63.616.672
321;Campinas;1;Mantenimiento;Brasil;-14.23;-51.92
322;Dongguan;1;Mantenimiento;China;35.86;104.19
189;Asturias;1;Almacén producto semielaborado o en producción;España;40.46;-3.74
324;Changshu;1;Mantenimiento;China;35.86;104.19
325;Shenyang;1;Mantenimiento;China;35.86;104.19
326;Chongqing;1;Mantenimiento;China;35.86;104.19
327;Loudi;1;Mantenimiento;China;35.86;104.19
328;GCF;1;Mantenimiento;Rep.Checa;49.81;15.47
329;Bridge Street;1;Mantenimiento;UK;55.37;-3.43
330;Newton Aycliffe;1;Mantenimiento;UK;55.37;-3.43
331;Popes Lane;1;Mantenimiento;UK;55.37;-3.43
332;Darlaston;1;Mantenimiento;UK;55.37;-3.43
333;Cannock;1;Mantenimiento;Holanda;52.13;5.29
334;Barcelona;1;Maquinaria Auxiliar;España;40.46;-3.74
335;Burgos;1;Maquinaria Auxiliar;España;40.46;-3.74
336;Tarragona;1;Maquinaria Auxiliar;España;40.46;-3.74
